Algorithm,Start Station,End Station,Time,Expanded Notes,Path,Distance
spfa,Charing Cross,West Finchley,0.001983642578125,448,Charing Cross -> Leicester Square -> Tottenham Court Road -> Goodge Street -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,13.65222710960603 km
ucs,Charing Cross,West Finchley,0.0019042491912841797,232,Charing Cross -> Leicester Square -> Tottenham Court Road -> Goodge Street -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,13.65222710960603 km
astar,Aldgate East,Finchley Road,0.0005311965942382812,39,Aldgate East -> Liverpool Street -> Moorgate -> Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> Finchley Road,9.777736772513165 km
dijkstra,Aldgate East,Finchley Road,0.0013735294342041016,148,Aldgate East -> Liverpool Street -> Moorgate -> Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> Finchley Road,9.777736772513165 km
bellman_ford,Aldgate East,Finchley Road,0.3490426540374756,570,Aldgate East -> Liverpool Street -> Moorgate -> Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> Finchley Road,9.777736772513165 km
spfa,Aldgate East,Finchley Road,0.0019130706787109375,439,Aldgate East -> Liverpool Street -> Moorgate -> Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> Finchley Road,9.777736772513165 km
ucs,Aldgate East,Finchley Road,0.001367807388305664,164,Aldgate East -> Liverpool Street -> Moorgate -> Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> Finchley Road,9.777736772513165 km
astar,Hammersmith,Old Street,0.0005335807800292969,38,Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Bank -> Moorgate -> Old Street,11.603615365461641 km
dijkstra,Hammersmith,Old Street,0.0012269020080566406,133,Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Bank -> Moorgate -> Old Street,11.603615365461641 km
bellman_ford,Hammersmith,Old Street,0.3419957160949707,484,Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Bank -> Moorgate -> Old Street,11.603615365461641 km
spfa,Hammersmith,Old Street,0.0017216205596923828,386,Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Bank -> Moorgate -> Old Street,11.603615365461641 km
ucs,Hammersmith,Old Street,0.0012314319610595703,147,Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Bank -> Moorgate -> Old Street,11.603615365461641 km
astar,Canons Park,Watford,0.00022292137145996094,17,Canons Park -> Queensbury -> Kingsbury -> Wembley Park -> Preston Road -> Northwick Park -> Harrow-on-the-Hill -> North Harrow -> Pinner -> Northwood Hills -> Northwood -> Moor Park -> Croxley -> Watford,22.908234243555768 km
dijkstra,Canons Park,Watford,0.0013399124145507812,147,Canons Park -> Queensbury -> Kingsbury -> Wembley Park -> Preston Road -> Northwick Park -> Harrow-on-the-Hill -> North Harrow -> Pinner -> Northwood Hills -> Northwood -> Moor Park -> Croxley -> Watford,22.908234243555768 km
bellman_ford,Canons Park,Watford,0.3366985321044922,671,Canons Park -> Queensbury -> Kingsbury -> Wembley Park -> Preston Road -> Northwick Park -> Harrow-on-the-Hill -> North Harrow -> Pinner -> Northwood Hills -> Northwood -> Moor Park -> Croxley -> Watford,22.908234243555768 km
spfa,Canons Park,Watford,0.001894235610961914,433,Canons Park -> Queensbury -> Kingsbury -> Wembley Park -> Preston Road -> Northwick Park -> Harrow-on-the-Hill -> North Harrow -> Pinner -> Northwood Hills -> Northwood -> Moor Park -> Croxley -> Watford,22.908234243555768 km
ucs,Canons Park,Watford,0.0013477802276611328,164,Canons Park -> Queensbury -> Kingsbury -> Wembley Park -> Preston Road -> Northwick Park -> Harrow-on-the-Hill -> North Harrow -> Pinner -> Northwood Hills -> Northwood -> Moor Park -> Croxley -> Watford,22.908234243555768 km
astar,Northfields,Rayners Lane,0.00018358230590820312,13,Northfields -> South Ealing -> Acton Town -> Ealing Common -> North Ealing -> Park Royal -> Alperton -> Sudbury Town -> Sudbury Hill -> South Harrow -> Rayners Lane,13.511606561766579 km
dijkstra,Northfields,Rayners Lane,0.0006532669067382812,72,Northfields -> South Ealing -> Acton Town -> Ealing Common -> North Ealing -> Park Royal -> Alperton -> Sudbury Town -> Sudbury Hill -> South Harrow -> Rayners Lane,13.511606561766579 km
bellman_ford,Northfields,Rayners Lane,0.3492007255554199,486,Northfields -> South Ealing -> Acton Town -> Ealing Common -> North Ealing -> Park Royal -> Alperton -> Sudbury Town -> Sudbury Hill -> South Harrow -> Rayners Lane,13.511606561766579 km
spfa,Northfields,Rayners Lane,0.0016856193542480469,391,Northfields -> South Ealing -> Acton Town -> Ealing Common -> North Ealing -> Park Royal -> Alperton -> Sudbury Town -> Sudbury Hill -> South Harrow -> Rayners Lane,13.511606561766579 km
ucs,Northfields,Rayners Lane,0.0006613731384277344,83,Northfields -> South Ealing -> Acton Town -> Ealing Common -> North Ealing -> Park Royal -> Alperton -> Sudbury Town -> Sudbury Hill -> South Harrow -> Rayners Lane,13.511606561766579 km
astar,Northfields,Northwick Park,0.00033402442932128906,28,Northfields -> South Ealing -> Acton Town -> Ealing Common -> North Ealing -> Park Royal -> Alperton -> Sudbury Town -> Sudbury Hill -> South Harrow -> Rayners Lane -> West Harrow -> Harrow-on-the-Hill -> Northwick Park,17.262501907605568 km
dijkstra,Northfields,Northwick Park,0.0012652873992919922,139,Northfields -> South Ealing -> Acton Town -> Ealing Common -> North Ealing -> Park Royal -> Alperton -> Sudbury Town -> Sudbury Hill -> South Harrow -> Rayners Lane -> West Harrow -> Harrow-on-the-Hill -> Northwick Park,17.262501907605568 km
bellman_ford,Northfields,Northwick Park,0.33600687980651855,486,Northfields -> South Ealing -> Acton Town -> Ealing Common -> North Ealing -> Park Royal -> Alperton -> Sudbury Town -> Sudbury Hill -> South Harrow -> Rayners Lane -> West Harrow -> Harrow-on-the-Hill -> Northwick Park,17.262501907605568 km
spfa,Northfields,Northwick Park,0.0016627311706542969,387,Northfields -> South Ealing -> Acton Town -> Ealing Common -> North Ealing -> Park Royal -> Alperton -> Sudbury Town -> Sudbury Hill -> South Harrow -> Rayners Lane -> West Harrow -> Harrow-on-the-Hill -> Northwick Park,17.262501907605568 km
ucs,Northfields,Northwick Park,0.0012998580932617188,158,Northfields -> South Ealing -> Acton Town -> Ealing Common -> North Ealing -> Park Royal -> Alperton -> Sudbury Town -> Sudbury Hill -> South Harrow -> Rayners Lane -> West Harrow -> Harrow-on-the-Hill -> Northwick Park,17.262501907605568 km
astar,Bounds Green,Snaresbrook,0.0006158351898193359,50,Bounds Green -> Wood Green -> Turnpike Lane -> Manor House -> Finsbury Park -> Arsenal -> Holloway Road -> Caledonian Road -> King's Cross St. Pancras -> Farringdon -> Barbican -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Stepney Green -> Mile End -> Stratford -> Leyton -> Leytonstone -> Snaresbrook,24.39854363438629 km
dijkstra,Bounds Green,Snaresbrook,0.0019943714141845703,225,Bounds Green -> Wood Green -> Turnpike Lane -> Manor House -> Finsbury Park -> Arsenal -> Holloway Road -> Caledonian Road -> King's Cross St. Pancras -> Farringdon -> Barbican -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Stepney Green -> Mile End -> Stratford -> Leyton -> Leytonstone -> Snaresbrook,24.39854363438629 km
bellman_ford,Bounds Green,Snaresbrook,0.33687353134155273,872,Bounds Green -> Wood Green -> Turnpike Lane -> Manor House -> Finsbury Park -> Arsenal -> Holloway Road -> Caledonian Road -> King's Cross St. Pancras -> Farringdon -> Barbican -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Stepney Green -> Mile End -> Stratford -> Leyton -> Leytonstone -> Snaresbrook,24.39854363438629 km
spfa,Bounds Green,Snaresbrook,0.0029077529907226562,687,Bounds Green -> Wood Green -> Turnpike Lane -> Manor House -> Finsbury Park -> Arsenal -> Holloway Road -> Caledonian Road -> King's Cross St. Pancras -> Farringdon -> Barbican -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Stepney Green -> Mile End -> Stratford -> Leyton -> Leytonstone -> Snaresbrook,24.39854363438629 km
ucs,Bounds Green,Snaresbrook,0.0019676685333251953,239,Bounds Green -> Wood Green -> Turnpike Lane -> Manor House -> Finsbury Park -> Arsenal -> Holloway Road -> Caledonian Road -> King's Cross St. Pancras -> Farringdon -> Barbican -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Stepney Green -> Mile End -> Stratford -> Leyton -> Leytonstone -> Snaresbrook,24.39854363438629 km
astar,Borough,Kensington (Olympia),0.00036215782165527344,23,Borough -> Elephant & Castle -> Lambeth North -> Waterloo -> Westminster -> St. James's Park -> Victoria -> Sloane Square -> South Kensington -> Gloucester Road -> Earl's Court -> Kensington (Olympia),9.565711919120425 km
dijkstra,Borough,Kensington (Olympia),0.0012631416320800781,137,Borough -> Elephant & Castle -> Lambeth North -> Waterloo -> Westminster -> St. James's Park -> Victoria -> Sloane Square -> South Kensington -> Gloucester Road -> Earl's Court -> Kensington (Olympia),9.565711919120425 km
bellman_ford,Borough,Kensington (Olympia),0.3632538318634033,748,Borough -> Elephant & Castle -> Lambeth North -> Waterloo -> Westminster -> St. James's Park -> Victoria -> Sloane Square -> South Kensington -> Gloucester Road -> Earl's Court -> Kensington (Olympia),9.565711919120425 km
spfa,Borough,Kensington (Olympia),0.0020411014556884766,483,Borough -> Elephant & Castle -> Lambeth North -> Waterloo -> Westminster -> St. James's Park -> Victoria -> Sloane Square -> South Kensington -> Gloucester Road -> Earl's Court -> Kensington (Olympia),9.565711919120425 km
ucs,Borough,Kensington (Olympia),0.0013005733489990234,153,Borough -> Elephant & Castle -> Lambeth North -> Waterloo -> Westminster -> St. James's Park -> Victoria -> Sloane Square -> South Kensington -> Gloucester Road -> Earl's Court -> Kensington (Olympia),9.565711919120425 km
astar,Wimbledon Park,Canada Water,0.0003056526184082031,22,Wimbledon Park -> Southfields -> East Putney -> Putney Bridge -> Parsons Green -> Fulham Broadway -> West Brompton -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,17.59594602262203 km
dijkstra,Wimbledon Park,Canada Water,0.001264810562133789,139,Wimbledon Park -> Southfields -> East Putney -> Putney Bridge -> Parsons Green -> Fulham Broadway -> West Brompton -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,17.59594602262203 km
bellman_ford,Wimbledon Park,Canada Water,0.34195566177368164,497,Wimbledon Park -> Southfields -> East Putney -> Putney Bridge -> Parsons Green -> Fulham Broadway -> West Brompton -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,17.59594602262203 km
spfa,Wimbledon Park,Canada Water,0.0017535686492919922,399,Wimbledon Park -> Southfields -> East Putney -> Putney Bridge -> Parsons Green -> Fulham Broadway -> West Brompton -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,17.59594602262203 km
ucs,Wimbledon Park,Canada Water,0.0013051033020019531,155,Wimbledon Park -> Southfields -> East Putney -> Putney Bridge -> Parsons Green -> Fulham Broadway -> West Brompton -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,17.59594602262203 km
astar,Leyton,Oval,0.00033402442932128906,23,Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Aldgate East -> Liverpool Street -> Bank -> London Bridge -> Borough -> Elephant & Castle -> Kennington -> Oval,12.854213974870344 km
dijkstra,Leyton,Oval,0.0011162757873535156,122,Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Aldgate East -> Liverpool Street -> Bank -> London Bridge -> Borough -> Elephant & Castle -> Kennington -> Oval,12.854213974870344 km
bellman_ford,Leyton,Oval,0.34776830673217773,474,Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Aldgate East -> Liverpool Street -> Bank -> London Bridge -> Borough -> Elephant & Castle -> Kennington -> Oval,12.854213974870344 km
spfa,Leyton,Oval,0.002782106399536133,658,Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Aldgate East -> Liverpool Street -> Bank -> London Bridge -> Borough -> Elephant & Castle -> Kennington -> Oval,12.854213974870344 km
ucs,Leyton,Oval,0.0011210441589355469,133,Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Aldgate East -> Liverpool Street -> Bank -> London Bridge -> Borough -> Elephant & Castle -> Kennington -> Oval,12.854213974870344 km
astar,Southfields,Tower Gateway,0.0010170936584472656,85,Southfields -> East Putney -> Putney Bridge -> Parsons Green -> Fulham Broadway -> West Brompton -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Bank -> Shadwell -> Tower Gateway,17.231656577166767 km
dijkstra,Southfields,Tower Gateway,0.0013930797576904297,155,Southfields -> East Putney -> Putney Bridge -> Parsons Green -> Fulham Broadway -> West Brompton -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Bank -> Shadwell -> Tower Gateway,17.231656577166767 km
bellman_ford,Southfields,Tower Gateway,0.3571774959564209,497,Southfields -> East Putney -> Putney Bridge -> Parsons Green -> Fulham Broadway -> West Brompton -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Bank -> Shadwell -> Tower Gateway,17.231656577166767 km
spfa,Southfields,Tower Gateway,0.0017251968383789062,399,Southfields -> East Putney -> Putney Bridge -> Parsons Green -> Fulham Broadway -> West Brompton -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Bank -> Shadwell -> Tower Gateway,17.231656577166767 km
ucs,Southfields,Tower Gateway,0.0014197826385498047,172,Southfields -> East Putney -> Putney Bridge -> Parsons Green -> Fulham Broadway -> West Brompton -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Bank -> Shadwell -> Tower Gateway,17.231656577166767 km
astar,Leyton,London Bridge,0.0002646446228027344,17,Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Aldgate East -> Liverpool Street -> Bank -> London Bridge,9.639691991591546 km
dijkstra,Leyton,London Bridge,0.0007076263427734375,77,Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Aldgate East -> Liverpool Street -> Bank -> London Bridge,9.639691991591546 km
bellman_ford,Leyton,London Bridge,0.34267568588256836,474,Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Aldgate East -> Liverpool Street -> Bank -> London Bridge,9.639691991591546 km
spfa,Leyton,London Bridge,0.00276947021484375,658,Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Aldgate East -> Liverpool Street -> Bank -> London Bridge,9.639691991591546 km
ucs,Leyton,London Bridge,0.0007274150848388672,89,Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Aldgate East -> Liverpool Street -> Bank -> London Bridge,9.639691991591546 km
astar,Archway,Wembley Park,0.0004878044128417969,39,Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> Finchley Road -> Wembley Park,17.82184099486411 km
dijkstra,Archway,Wembley Park,0.001832723617553711,209,Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> Finchley Road -> Wembley Park,17.82184099486411 km
bellman_ford,Archway,Wembley Park,0.35889267921447754,576,Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> Finchley Road -> Wembley Park,17.82184099486411 km
spfa,Archway,Wembley Park,0.0017313957214355469,399,Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> Finchley Road -> Wembley Park,17.82184099486411 km
ucs,Archway,Wembley Park,0.0018360614776611328,222,Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> Finchley Road -> Wembley Park,17.82184099486411 km
astar,Gants Hill,Shadwell,0.00020694732666015625,13,Gants Hill -> Redbridge -> Wanstead -> Leytonstone -> Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Shadwell,13.315351129704538 km
dijkstra,Gants Hill,Shadwell,0.00047016143798828125,50,Gants Hill -> Redbridge -> Wanstead -> Leytonstone -> Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Shadwell,13.315351129704538 km
bellman_ford,Gants Hill,Shadwell,0.3431539535522461,473,Gants Hill -> Redbridge -> Wanstead -> Leytonstone -> Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Shadwell,13.315351129704538 km
spfa,Gants Hill,Shadwell,0.0027785301208496094,658,Gants Hill -> Redbridge -> Wanstead -> Leytonstone -> Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Shadwell,13.315351129704538 km
ucs,Gants Hill,Shadwell,0.0004799365997314453,59,Gants Hill -> Redbridge -> Wanstead -> Leytonstone -> Leyton -> Stratford -> Mile End -> Stepney Green -> Whitechapel -> Shadwell,13.315351129704538 km
astar,North Ealing,Westminster,0.00026917457580566406,18,North Ealing -> Ealing Common -> Acton Town -> Turnham Green -> Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster,13.073998637272876 km
dijkstra,North Ealing,Westminster,0.0007572174072265625,82,North Ealing -> Ealing Common -> Acton Town -> Turnham Green -> Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster,13.073998637272876 km
bellman_ford,North Ealing,Westminster,0.35263609886169434,489,North Ealing -> Ealing Common -> Acton Town -> Turnham Green -> Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster,13.073998637272876 km
spfa,North Ealing,Westminster,0.0017285346984863281,388,North Ealing -> Ealing Common -> Acton Town -> Turnham Green -> Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster,13.073998637272876 km
ucs,North Ealing,Westminster,0.0007922649383544922,99,North Ealing -> Ealing Common -> Acton Town -> Turnham Green -> Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster,13.073998637272876 km
astar,St. John's Wood,Tooting Bec,0.0006291866302490234,32,St. John's Wood -> Baker Street -> Bond Street -> Green Park -> Victoria -> Pimlico -> Vauxhall -> Stockwell -> Clapham North -> Clapham Common -> Clapham South -> Balham -> Tooting Bec,13.161923393496512 km
dijkstra,St. John's Wood,Tooting Bec,0.0016400814056396484,181,St. John's Wood -> Baker Street -> Bond Street -> Green Park -> Victoria -> Pimlico -> Vauxhall -> Stockwell -> Clapham North -> Clapham Common -> Clapham South -> Balham -> Tooting Bec,13.161923393496512 km
bellman_ford,St. John's Wood,Tooting Bec,0.3438241481781006,680,St. John's Wood -> Baker Street -> Bond Street -> Green Park -> Victoria -> Pimlico -> Vauxhall -> Stockwell -> Clapham North -> Clapham Common -> Clapham South -> Balham -> Tooting Bec,13.161923393496512 km
spfa,St. John's Wood,Tooting Bec,0.001888275146484375,435,St. John's Wood -> Baker Street -> Bond Street -> Green Park -> Victoria -> Pimlico -> Vauxhall -> Stockwell -> Clapham North -> Clapham Common -> Clapham South -> Balham -> Tooting Bec,13.161923393496512 km
ucs,St. John's Wood,Tooting Bec,0.0016481876373291016,200,St. John's Wood -> Baker Street -> Bond Street -> Green Park -> Victoria -> Pimlico -> Vauxhall -> Stockwell -> Clapham North -> Clapham Common -> Clapham South -> Balham -> Tooting Bec,13.161923393496512 km
astar,Dollis Hill,Rayners Lane,0.00013780593872070312,8,Dollis Hill -> Neasden -> Wembley Park -> Preston Road -> Northwick Park -> Harrow-on-the-Hill -> West Harrow -> Rayners Lane,10.048473415953094 km
dijkstra,Dollis Hill,Rayners Lane,0.0004432201385498047,39,Dollis Hill -> Neasden -> Wembley Park -> Preston Road -> Northwick Park -> Harrow-on-the-Hill -> West Harrow -> Rayners Lane,10.048473415953094 km
bellman_ford,Dollis Hill,Rayners Lane,0.341646671295166,964,Dollis Hill -> Neasden -> Wembley Park -> Preston Road -> Northwick Park -> Harrow-on-the-Hill -> West Harrow -> Rayners Lane,10.048473415953094 km
spfa,Dollis Hill,Rayners Lane,0.0029480457305908203,697,Dollis Hill -> Neasden -> Wembley Park -> Preston Road -> Northwick Park -> Harrow-on-the-Hill -> West Harrow -> Rayners Lane,10.048473415953094 km
ucs,Dollis Hill,Rayners Lane,0.0004372596740722656,59,Dollis Hill -> Neasden -> Wembley Park -> Preston Road -> Northwick Park -> Harrow-on-the-Hill -> West Harrow -> Rayners Lane,10.048473415953094 km
astar,East Finchley,Shadwell,0.00033211708068847656,21,East Finchley -> Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Farringdon -> Barbican -> Moorgate -> Bank -> Shadwell,14.10267248938859 km
dijkstra,East Finchley,Shadwell,0.001001596450805664,104,East Finchley -> Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Farringdon -> Barbican -> Moorgate -> Bank -> Shadwell,14.10267248938859 km
bellman_ford,East Finchley,Shadwell,0.3333122730255127,576,East Finchley -> Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Farringdon -> Barbican -> Moorgate -> Bank -> Shadwell,14.10267248938859 km
spfa,East Finchley,Shadwell,0.0017552375793457031,393,East Finchley -> Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Farringdon -> Barbican -> Moorgate -> Bank -> Shadwell,14.10267248938859 km
ucs,East Finchley,Shadwell,0.0010044574737548828,116,East Finchley -> Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Farringdon -> Barbican -> Moorgate -> Bank -> Shadwell,14.10267248938859 km
astar,South Kensington,Lewisham,0.0010793209075927734,92,South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water -> Canary Wharf -> Heron Quays -> South Quay -> Crossharbour & London Arena -> Mudchute -> Island Gardens -> Cutty Sark -> Greenwich -> Deptford Bridge -> Elverson Road -> Lewisham,16.288231131720345 km
dijkstra,South Kensington,Lewisham,0.001941680908203125,225,South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water -> Canary Wharf -> Heron Quays -> South Quay -> Crossharbour & London Arena -> Mudchute -> Island Gardens -> Cutty Sark -> Greenwich -> Deptford Bridge -> Elverson Road -> Lewisham,16.288231131720345 km
bellman_ford,South Kensington,Lewisham,0.3376643657684326,560,South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water -> Canary Wharf -> Heron Quays -> South Quay -> Crossharbour & London Arena -> Mudchute -> Island Gardens -> Cutty Sark -> Greenwich -> Deptford Bridge -> Elverson Road -> Lewisham,16.288231131720345 km
spfa,South Kensington,Lewisham,0.0017457008361816406,389,South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water -> Canary Wharf -> Heron Quays -> South Quay -> Crossharbour & London Arena -> Mudchute -> Island Gardens -> Cutty Sark -> Greenwich -> Deptford Bridge -> Elverson Road -> Lewisham,16.288231131720345 km
ucs,South Kensington,Lewisham,0.0019674301147460938,239,South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water -> Canary Wharf -> Heron Quays -> South Quay -> Crossharbour & London Arena -> Mudchute -> Island Gardens -> Cutty Sark -> Greenwich -> Deptford Bridge -> Elverson Road -> Lewisham,16.288231131720345 km
astar,Goldhawk Road,Canada Water,0.0003235340118408203,22,Goldhawk Road -> Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,13.634857867788375 km
dijkstra,Goldhawk Road,Canada Water,0.0013799667358398438,152,Goldhawk Road -> Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,13.634857867788375 km
bellman_ford,Goldhawk Road,Canada Water,0.3566155433654785,573,Goldhawk Road -> Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,13.634857867788375 km
spfa,Goldhawk Road,Canada Water,0.0017020702362060547,385,Goldhawk Road -> Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,13.634857867788375 km
ucs,Goldhawk Road,Canada Water,0.0014064311981201172,168,Goldhawk Road -> Hammersmith -> Barons Court -> Earl's Court -> Gloucester Road -> South Kensington -> Sloane Square -> Victoria -> St. James's Park -> Westminster -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,13.634857867788375 km
astar,Parsons Green,St. Paul's,0.0003750324249267578,26,Parsons Green -> Fulham Broadway -> West Brompton -> Earl's Court -> Gloucester Road -> South Kensington -> Knightsbridge -> Hyde Park Corner -> Green Park -> Piccadilly Circus -> Leicester Square -> Covent Garden -> Holborn -> Chancery Lane -> St. Paul's,10.010446389274502 km
dijkstra,Parsons Green,St. Paul's,0.0009224414825439453,96,Parsons Green -> Fulham Broadway -> West Brompton -> Earl's Court -> Gloucester Road -> South Kensington -> Knightsbridge -> Hyde Park Corner -> Green Park -> Piccadilly Circus -> Leicester Square -> Covent Garden -> Holborn -> Chancery Lane -> St. Paul's,10.010446389274502 km
